Customer ID,Quantity,SalesAmount,SalesAmountDecile,SalesAmountBanded,Number_Invoices,Number_Invoices Dates,InvoiceDatemin,InvoiceDatemax
12346.0,26,-178.17999999999302,10,Under Zero,12,12,2010-01-04 09:24:00,2011-01-18 10:17:00
12347.0,3286,5633.3199999999915,1,"5,000-10,000",8,8,2010-10-31 14:20:00,2011-12-07 15:52:00
12348.0,2714,2019.4,3,"1,001-5,000",5,5,2010-09-27 14:59:00,2011-09-25 13:13:00
12349.0,1624,4428.690000000002,2,"1,001-5,000",4,4,2010-04-29 13:20:00,2011-11-21 09:51:00
12350.0,197,334.40000000000003,8,0-500,1,1,2011-02-02 16:01:00,2011-02-02 16:01:00
12351.0,261,300.93,8,0-500,1,1,2010-11-29 15:23:00,2010-11-29 15:23:00
12352.0,658,1889.2100000000003,3,"1,001-5,000",13,13,2010-11-12 10:20:00,2011-11-03 14:37:00
12353.0,212,406.75999999999993,7,0-500,2,2,2010-10-27 12:44:00,2011-05-19 17:47:00
12354.0,530,1079.4,5,"1,001-5,000",1,1,2011-04-21 13:11:00,2011-04-21 13:11:00
12355.0,543,947.61,5,501-1000,2,2,2010-05-21 11:59:00,2011-05-09 13:49:00
12356.0,3417,6373.679999999995,1,"5,000-10,000",6,6,2010-10-11 09:42:00,2011-11-17 08:40:00
12357.0,6587,18287.659999999993,1,"10,000-20,000",3,3,2010-11-16 10:05:00,2011-11-06 16:07:00
12358.0,770,2457.240000000001,3,"1,001-5,000",4,4,2010-06-07 12:28:00,2011-12-08 10:26:00
12359.0,2129,7954.200000000005,1,"5,000-10,000",11,11,2010-03-08 10:15:00,2011-12-02 11:21:00
12360.0,2458,4212.890000000001,2,"1,001-5,000",9,9,2010-02-22 09:32:00,2011-10-18 15:22:00
12361.0,235,511.24999999999994,7,501-1000,4,4,2010-01-26 14:37:00,2011-02-25 13:51:00
12362.0,2212,5154.580000000002,2,"5,000-10,000",13,13,2011-02-17 10:30:00,2011-12-06 15:40:00
12363.0,408,552.0,7,501-1000,2,2,2011-04-11 13:29:00,2011-08-22 10:18:00
12364.0,1506,1313.1000000000001,4,"1,001-5,000",4,4,2011-08-19 15:24:00,2011-12-02 10:22:00
12365.0,173,320.69,8,0-500,3,3,2011-02-21 13:51:00,2011-02-21 14:04:00
12366.0,296,500.24,7,501-1000,1,1,2010-03-16 10:28:00,2010-03-16 10:28:00
12367.0,173,168.9,9,0-500,1,1,2011-12-05 16:48:00,2011-12-05 16:48:00
12368.0,330,917.6999999999999,5,501-1000,1,1,2010-03-21 15:56:00,2010-03-21 15:56:00
12369.0,1241,1791.15,3,"1,001-5,000",3,3,2010-03-08 08:09:00,2010-10-22 13:13:00
12370.0,2605,4320.309999999998,2,"1,001-5,000",7,7,2010-02-09 09:41:00,2011-10-19 14:51:00
12371.0,1436,4067.3799999999983,2,"1,001-5,000",5,5,2010-03-04 18:23:00,2011-10-26 10:16:00
12372.0,794,1298.0400000000002,4,"1,001-5,000",3,3,2011-02-16 12:46:00,2011-09-29 12:12:00
12373.0,516,1127.65,5,"1,001-5,000",3,3,2010-02-04 12:08:00,2011-02-01 13:10:00
12374.0,1362,2989.2200000000007,2,"1,001-5,000",4,4,2010-04-30 14:01:00,2011-11-14 15:37:00
12375.0,177,455.42000000000013,7,0-500,3,3,2011-09-02 14:23:00,2011-12-07 11:27:00
12376.0,240,503.15,7,501-1000,2,2,2010-10-18 08:42:00,2010-11-15 12:15:00
12377.0,2105,3426.319999999998,2,"1,001-5,000",4,4,2010-04-29 15:34:00,2011-01-28 15:45:00
12378.0,3316,5416.32,1,"5,000-10,000",2,2,2010-05-26 14:07:00,2011-08-02 10:34:00
12379.0,814,1618.27,4,"1,001-5,000",5,5,2010-06-23 12:49:00,2011-09-19 10:09:00
12380.0,3325,7888.0000000000055,1,"5,000-10,000",15,15,2010-02-15 12:05:00,2011-11-18 11:27:00
12381.0,783,1803.9600000000005,3,"1,001-5,000",6,6,2011-08-12 09:57:00,2011-12-05 12:44:00
12382.0,-1,-18.38,10,Under Zero,1,1,2010-01-26 16:25:00,2010-01-26 16:25:00
12383.0,1529,1839.3099999999997,3,"1,001-5,000",6,6,2010-12-22 14:28:00,2011-06-08 08:02:00
12384.0,121,566.16,7,501-1000,3,3,2011-08-10 11:23:00,2011-11-11 08:39:00
12385.0,611,1923.3999999999999,3,"1,001-5,000",2,2,2010-11-25 15:14:00,2010-11-25 15:19:00
12386.0,568,660.8,6,501-1000,2,2,2010-12-08 09:53:00,2011-01-06 12:37:00
12387.0,134,143.94,10,0-500,1,1,2010-10-20 16:27:00,2010-10-20 16:27:00
12388.0,2001,3901.110000000001,2,"1,001-5,000",8,8,2010-05-06 12:54:00,2011-11-24 12:30:00
12389.0,614,1433.33,4,"1,001-5,000",3,3,2010-02-22 10:15:00,2010-11-02 11:52:00
