StockCode,Description,Quantity,CATEGORY,TYPE
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,106034,KITS,
85123A,WHITE HANGING HEART T-LIGHT HOLDER,86050,T-LIGHT HOLDER/ACCESSORY,
85099B,JUMBO BAG RED RETROSPOT,77671,BAG,JUMBO
84879,ASSORTED COLOUR BIRD ORNAMENT,76672,ORNAMENT,
17003,BROCADE RING PURSE ,69899,PURSE,BROCADE
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55381,CAKE CASES,PAISLEY
84991,60 TEATIME FAIRY CAKE CASES,52544,CAKE CASES,TEATIME
22197,SMALL POPCORN HOLDER,49616,OTHER HOLDER,
21212,PACK OF 72 RETROSPOT CAKE CASES,49344,CAKE CASES,RETROSPOT
22492,MINI PAINT SET VINTAGE ,44124,OTHER ,
15036,ASSORTED COLOURS SILK FAN,42950,FAN,
21212,PACK OF 72 RETRO SPOT CAKE CASES,41172,CAKE CASES,RETROSPOT
22616,PACK OF 12 LONDON TISSUES ,40295,TISSUES,
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39650,T-LIGHT HOLDER/ACCESSORY,
21213,PACK OF 72 SKULL CAKE CASES,39246,CAKE CASES,SKULL
22178,VICTORIAN GLASS HANGING T-LIGHT,38894,T-LIGHT HOLDER/ACCESSORY,
21915,RED  HARMONICA IN BOX ,37302,MUSICAL,
84568,GIRLS ALPHABET IRON ON PATCHES ,36353,PATCH,
22197,POPCORN HOLDER,36334,OTHER HOLDER,
85099F,JUMBO BAG STRAWBERRY,35918,BAG,JUMBO
21232,STRAWBERRY CERAMIC TRINKET BOX,33358,BOX,
84992,72 SWEETHEART FAIRY CAKE CASES,33208,CAKE CASES,SWEETHEART
21982,PACK OF 12 SUKI TISSUES ,32779,TISSUES,
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,32623,OTHER ,
23084,RABBIT NIGHT LIGHT,30680,LIGHTING,
21975,PACK OF 60 DINOSAUR CAKE CASES,30572,CAKE CASES,DINOSAUR
71459,HANGING JAM JAR T-LIGHT HOLDER,30044,T-LIGHT HOLDER/ACCESSORY,
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29570,BAG,JUMBO
22469,HEART OF WICKER SMALL,28797,OTHER ,
22952,60 CAKE CASES VINTAGE CHRISTMAS,28192,CAKE CASES,OTHER
21931,JUMBO STORAGE BAG SUKI,28141,BAG,JUMBO
22355,CHARLOTTE BAG SUKI DESIGN,28112,BAG,
47566,PARTY BUNTING,27993,BUNTING,
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27292,BAG,
21731,RED TOADSTOOL LED NIGHT LIGHT,27180,LIGHTING,
21790,VINTAGE SNAP CARDS,26822,GAMES,
22151,PLACE SETTING WHITE HEART,26654,PLACE SETTING,
22423,REGENCY CAKESTAND 3 TIER,26126,OTHER ,
16014,SMALL CHINESE STYLE SCISSOR,25830,SCISSOR,
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25790,T-LIGHT HOLDER/ACCESSORY,
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25355,MUG,
20727,LUNCH BAG  BLACK SKULL.,25267,BAG,
22386,JUMBO BAG PINK POLKADOT,25166,BAG,JUMBO
21929,JUMBO BAG PINK VINTAGE PAISLEY,24952,BAG,JUMBO
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24663,OTHER ,
20719,WOODLAND CHARLOTTE BAG,24193,BAG,
21985,PACK OF 12 HEARTS DESIGN TISSUES ,24142,TISSUES,
20728,LUNCH BAG CARS BLUE,23271,BAG,
21181,PLEASE ONE PERSON METAL SIGN,23135,SIGN,
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,22493,T-LIGHT HOLDER/ACCESSORY,
20725,LUNCH BAG RED RETROSPOT,22203,BAG,
21981,PACK OF 12 WOODLAND TISSUES ,21583,TISSUES,
22417,PACK OF 60 SPACEBOY CAKE CASES,21527,CAKE CASES,OTHER
22629,SPACEBOY LUNCH BOX ,21152,BOX,
84978,HANGING HEART JAR T-LIGHT HOLDER,21079,T-LIGHT HOLDER/ACCESSORY,
21984,PACK OF 12 PINK PAISLEY TISSUES ,20941,TISSUES,
84946,ANTIQUE SILVER TEA GLASS ETCHED,20904,OTHER ,
20724,RED RETROSPOT CHARLOTTE BAG,20698,BAG,
20726,LUNCH BAG WOODLAND,20683,BAG,
20713,JUMBO BAG OWLS,20414,BAG,JUMBO
20668,DISCO BALL CHRISTMAS DECORATION,19763,DECORATIONS,
84270,ASSTD DESIGN BUBBLE GUM RING,19733,OTHER ,
22382,LUNCH BAG SPACEBOY DESIGN ,19562,BAG,
21166,COOK WITH WINE METAL SIGN ,19503,SIGN,
21137,BLACK RECORD COVER FRAME,19262,FRAMES,
84598,BOYS ALPHABET IRON ON PATCHES,19261,PATCH,
21094,SET/6 RED SPOTTY PAPER PLATES,19181,PLATES,
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,19148,OTHER ,
84016,FLAG OF ST GEORGE CAR FLAG,18939,OTHER ,
72741,GRAND CHOCOLATECANDLE,18868,CANDLES,
84836,ZINC METAL HEART DECORATION,18789,DECORATIONS,
20972,PINK CREAM FELT CRAFT TRINKET BOX ,18703,BOX,
21231,SWEETHEART CERAMIC TRINKET BOX,18628,BOX,
84692,BOX OF 24 COCKTAIL PARASOLS,18268,OTHER ,
22470,HEART OF WICKER LARGE,18163,OTHER ,
22630,DOLLY GIRL LUNCH BOX,18089,BOX,
20971,PINK BLUE FELT CRAFT TRINKET BOX,18005,BOX,
22585,PACK OF 6 BIRDY GIFT TAGS,17941,OTHER ,
20723,STRAWBERRY CHARLOTTE BAG,17828,BAG,
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17827,OTHER ,
22961,JAM MAKING SET PRINTED,17742,OTHER ,
22489,PACK OF 12 TRADITIONAL CRAYONS,17738,OTHER ,
22189,CREAM HEART CARD HOLDER,17547,OTHER HOLDER,
21326,AGED GLASS SILVER T-LIGHT HOLDER,17477,T-LIGHT HOLDER/ACCESSORY,
20712,JUMBO BAG WOODLAND ANIMALS,17446,BAG,JUMBO
22077,6 RIBBONS RUSTIC CHARM,17398,OTHER ,
21175,GIN + TONIC DIET METAL SIGN,17379,SIGN,
21497,FANCY FONTS BIRTHDAY WRAP,17375,OTHER ,
21980,PACK OF 12 RED SPOTTY TISSUES ,17360,TISSUES,
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17236,OTHER ,
22029,SPACEBOY BIRTHDAY CARD,17000,OTHER ,
20725,LUNCH BAG RED SPOTTY,16831,BAG,
22385,JUMBO BAG SPACEBOY DESIGN,16814,BAG,JUMBO
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16783,T-LIGHT HOLDER/ACCESSORY,
21791,VINTAGE HEADS AND TAILS CARD GAME ,16694,OTHER ,
21733,RED HANGING HEART T-LIGHT HOLDER,16538,T-LIGHT HOLDER/ACCESSORY,
22659,LUNCH BOX I LOVE LONDON,16528,BOX,
21704,BAG 250g SWIRLY MARBLES,16280,BAG,
16156S,WRAP PINK FAIRY CAKES ,16265,OTHER ,
79321,CHILLI LIGHTS,16240,OTHER ,
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,16105,OTHER ,
22379,RECYCLING BAG RETROSPOT ,16008,BAG,
85152,HAND OVER THE CHOCOLATE   SIGN ,16004,SIGN,
21086,SET/6 RED SPOTTY PAPER CUPS,15896,OTHER ,
82482,WOODEN PICTURE FRAME WHITE FINISH,15891,OTHER ,
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15714,BAG,JUMBO
22457,NATURAL SLATE HEART CHALKBOARD ,15659,OTHER ,
22294,HEART FILIGREE DOVE  SMALL,15598,OTHER ,
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,15568,OTHER ,
22551,PLASTERS IN TIN SPACEBOY,15492,OTHER ,
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15464,OTHER ,
40016,CHINESE DRAGON PAPER LANTERNS,15434,OTHER ,
22865,HAND WARMER OWL DESIGN,15384,OTHER ,
22560,TRADITIONAL MODELLING CLAY,15051,OTHER ,
22969,HOMEMADE JAM SCENTED CANDLES,14947,CANDLES,
22383,LUNCH BAG SUKI  DESIGN ,14675,BAG,
16033,MINI HIGHLIGHTER PENS,14641,OTHER ,
85175,CACTI T-LIGHT CANDLES,14570,CANDLES,
21829,DINOSAUR KEYRINGS ASSORTED,14494,OTHER ,
21498,RED RETROSPOT WRAP ,14451,OTHER ,
82494L,WOODEN FRAME ANTIQUE WHITE ,14417,OTHER ,
21703,BAG 125g SWIRLY MARBLES,14406,BAG,
84946,ANTIQUE SILVER T-LIGHT GLASS,14372,T-LIGHT HOLDER/ACCESSORY,
21976,PACK OF 60 MUSHROOM CAKE CASES,14337,CAKE CASES,OTHER
21080,SET/20 RED SPOTTY PAPER NAPKINS ,14285,OTHER ,
21918,SET 12 KIDS COLOUR  CHALK STICKS,14283,OTHER ,
23199,JUMBO BAG APPLES,14197,BAG,JUMBO
22386,JUMBO BAG PINK WITH WHITE SPOTS,14192,BAG,JUMBO
22558,CLOTHES PEGS RETROSPOT PACK 24 ,14190,OTHER ,
84826,ASSTD DESIGN 3D PAPER STICKERS,14101,OTHER ,
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,14028,OTHER ,
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,13852,OTHER ,
22045,SPACEBOY GIFT WRAP,13787,OTHER ,
22554,PLASTERS IN TIN WOODLAND ANIMALS,13695,OTHER ,
21085,SET/6 WOODLAND PAPER CUPS,13680,OTHER ,
22556,PLASTERS IN TIN CIRCUS PARADE ,13678,OTHER ,
21091,SET/6 WOODLAND PAPER PLATES,13661,PLATES,
22866,HAND WARMER SCOTTY DOG DESIGN,13637,OTHER ,
22867,HAND WARMER BIRD DESIGN,13371,OTHER ,
21099,SET/6 STRAWBERRY PAPER CUPS,13265,OTHER ,
21930,JUMBO STORAGE BAG SKULLS,13247,BAG,JUMBO
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,13188,OTHER ,
21914,BLUE HARMONICA IN BOX ,13154,HARMONICA,
22297,HEART IVORY TRELLIS SMALL,13072,OTHER ,
16161P,WRAP ENGLISH ROSE ,12998,OTHER ,
75049L,LARGE CIRCULAR MIRROR MOBILE,12867,OTHER ,
21092,SET/6 STRAWBERRY PAPER PLATES,12842,PLATES,
22534,MAGIC DRAWING SLATE SPACEBOY ,12795,OTHER ,
23201,JUMBO BAG ALPHABET,12785,BAG,JUMBO
22610,PENS ASSORTED FUNNY FACE,12721,OTHER ,
82580,BATHROOM METAL SIGN,12663,SIGN,
20974,12 PENCILS SMALL TUBE SKULL,12648,OTHER ,
21889,WOODEN BOX OF DOMINOES,12645,GAMES,
22699,ROSES REGENCY TEACUP AND SAUCER ,12632,OTHER ,
22993,SET OF 4 PANTRY JELLY MOULDS,12604,OTHER ,
82583,HOT BATHS METAL SIGN,12584,SIGN,
21877,HOME SWEET HOME MUG,12553,MUG,
22030,SWALLOWS GREETING CARD,12523,OTHER ,
22418,10 COLOUR SPACEBOY PEN,12482,OTHER ,
22188,BLACK HEART CARD HOLDER,12447,OTHER HOLDER,
22740,POLKADOT PEN,12380,OTHER ,
20711,JUMBO BAG TOYS ,12327,BAG,JUMBO
22998,TRAVEL CARD WALLET KEEP CALM,12313,OTHER ,
23206,LUNCH BAG APPLE DESIGN,12124,BAG,
21891,TRADITIONAL WOODEN SKIPPING ROPE,12057,OTHER ,
23310,BUBBLEGUM RING ASSORTED,12050,OTHER ,
22467,GUMBALL COAT RACK,12004,OTHER ,
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11975,CAKE CASES,OTHER
17084R,ASSORTED INCENSE PACK,11921,OTHER ,
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,11870,T-LIGHT HOLDER/ACCESSORY,
22384,LUNCH BAG PINK POLKADOT,11830,BAG,
22147,FELTCRAFT BUTTERFLY HEARTS,11676,OTHER ,
22555,PLASTERS IN TIN STRONGMAN,11637,OTHER ,
22149,FELTCRAFT 6 FLOWER FRIENDS,11579,OTHER ,
21498,RED SPOTS  WRAP ,11525,OTHER ,
22561,WOODEN SCHOOL COLOURING SET,11357,OTHER ,
84378,SET OF 3 HEART COOKIE CUTTERS,11331,OTHER ,
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,11309,T-LIGHT HOLDER/ACCESSORY,
79000,MOROCCAN TEA GLASS,11256,OTHER ,
22356,CHARLOTTE BAG PINK POLKADOT,11168,BAG,
82600,NO SINGING METAL SIGN,11151,SIGN,
35961,FOLKART ZINC HEART CHRISTMAS DEC,11109,OTHER ,
84949,SILVER HANGING T-LIGHT HOLDER,11091,T-LIGHT HOLDER/ACCESSORY,
21506,"FANCY FONT BIRTHDAY CARD, ",11036,OTHER ,
82484,WOOD BLACK BOARD ANT WHITE FINISH,11006,OTHER ,
22027,TEA PARTY BIRTHDAY CARD,10993,OTHER ,
23203,JUMBO BAG VINTAGE DOILY ,10896,BAG,JUMBO
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10872,OTHER ,
22666,RECIPE BOX PANTRY YELLOW DESIGN,10736,OTHER ,
23202,JUMBO BAG VINTAGE LEAF,10720,BAG,JUMBO
20724,RED SPOTTY CHARLOTTE BAG,10689,BAG,
22114,HOT WATER BOTTLE TEA AND SYMPATHY,10683,OTHER ,
21967,PACK OF 12 SKULL TISSUES,10670,TISSUES,
22741,FUNKY DIVA PEN,10670,OTHER ,
21916,SET 12 RETRO WHITE CHALK STICKS,10589,OTHER ,
84029E,RED WOOLLY HOTTIE WHITE HEART.,10571,OTHER ,
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10540,OTHER ,
21314,SMALL GLASS HEART TRINKET POT,10461,OTHER ,
21390,FILIGRIS HEART WITH BUTTERFLY,10442,OTHER ,
23077,DOUGHNUT LIP GLOSS ,10355,OTHER ,
22112,CHOCOLATE HOT WATER BOTTLE,10346,OTHER ,
21385,IVORY HANGING DECORATION  HEART,10339,DECORATIONS,
22444,GROW YOUR OWN PLANT IN A CAN ,10307,OTHER ,
85099B,JUMBO BAG RED WHITE SPOTTY ,10296,BAG,JUMBO
20975,12 PENCILS SMALL TUBE RED RETROSPOT,10284,OTHER ,
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10215,OTHER ,
21871,SAVE THE PLANET MUG,10203,MUG,
22383,LUNCH BAG SUKI DESIGN ,10189,BAG,
22652,TRAVEL SEWING KIT,10109,OTHER ,
20973,12 PENCIL SMALL TUBE WOODLAND,10060,OTHER ,
21136,PAINTED METAL PEARS ASSORTED,10052,OTHER ,
21668,RED STRIPE CERAMIC DRAWER KNOB,10051,OTHER ,
22951,60 CAKE CASES DOLLY GIRL DESIGN,10049,CAKE CASES,OTHER
23344,JUMBO BAG 50'S CHRISTMAS ,10044,BAG,JUMBO
22530,MAGIC DRAWING SLATE DOLLY GIRL ,10034,OTHER ,
16237,SLEEPING CAT ERASERS,10025,OTHER ,
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,10007,OTHER ,
22662,LUNCH BAG DOLLY GIRL DESIGN,10001,BAG,
21787,RAIN PONCHO RETROSPOT,9936,OTHER ,
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9854,OTHER ,
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9798,OTHER ,
22791,T-LIGHT GLASS FLUTED ANTIQUE,9756,T-LIGHT HOLDER/ACCESSORY,
22697,GREEN REGENCY TEACUP AND SAUCER,9751,OTHER ,
20914,SET/5 RED SPOTTY LID GLASS BOWLS,9642,OTHER ,
22988,SOLDIERS EGG CUP ,9636,OTHER ,
15056N,EDWARDIAN PARASOL NATURAL,9572,OTHER ,
20993,JAZZ HEARTS MEMO PAD,9551,OTHER ,
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9531,OTHER ,
22759,SET OF 3 NOTEBOOKS IN PARCEL,9515,OTHER ,
22633,HAND WARMER UNION JACK,9500,OTHER ,
22727,ALARM CLOCK BAKELIKE RED ,9500,OTHER ,
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9480,OTHER ,
21088,SET/6 FRUIT SALAD PAPER CUPS,9469,OTHER ,
22544,MINI JIGSAW SPACEBOY,9454,OTHER ,
22536,MAGIC DRAWING SLATE PURDEY,9427,OTHER ,
22959,WRAP CHRISTMAS VILLAGE,9426,OTHER ,
21174,POTTERING IN THE SHED METAL SIGN,9422,SIGN,
84050,PINK HEART SHAPE EGG FRYING PAN,9404,OTHER ,
22296,HEART IVORY TRELLIS LARGE,9392,OTHER ,
22158,3 HEARTS HANGING DECORATION RUSTIC,9336,DECORATIONS,
22219,LOVEBIRD HANGING DECORATION WHITE ,9327,DECORATIONS,
16045,POPART WOODEN PENCILS ASST,9312,OTHER ,
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,9205,OTHER ,
62018,SOMBRERO ,9155,OTHER ,
21495,SKULLS AND CROSSBONES WRAP,9090,OTHER ,
21165,BEWARE OF THE CAT METAL SIGN ,9079,SIGN,
22960,JAM MAKING SET WITH JARS,9057,OTHER ,
